PDB_ID,CHAIN,SEQ_ID,CAMEO_TARGET_ID,SEQ_URL,PDB_URL,SUBMISSION_DATE,DIFFICULTY,QUATERNARY_STATE,MONOMERIC_MODEL_COUNT,REF_PDB,SEQ_LENGTH,METHOD,RESOLUTION
7MJ3,A,7MJ3_A,2022-07-30_00000029_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7MJ3_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7MJ3_A/target.pdb,7/30/22,2,0,51,7mj3 [A],44,SOLUTION NMR,0
7R49,B,7R49_B,2022-07-30_00000119_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7R49_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7R49_B/target.pdb,7/30/22,0,1,54,7r49 [B],121,X-RAY DIFFRACTION,1.88
7RLK,D,7RLK_D,2022-07-30_00000131_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7RLK_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7RLK_D/target.pdb,7/30/22,0,2,53,7rlk [D],117,X-RAY DIFFRACTION,2.69
7RMY,A,7RMY_A,2022-07-30_00000136_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7RMY_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7RMY_A/target.pdb,7/30/22,1,0,58,7rmy [A],272,X-RAY DIFFRACTION,3.17
7S03,A,7S03_A,2022-07-30_00000142_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7S03_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7S03_A/target.pdb,7/30/22,0,2,56,7s03 [A],113,X-RAY DIFFRACTION,2.37
7SAO,A,7SAO_A,2022-07-30_00000163_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7SAO_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7SAO_A/target.pdb,7/30/22,0,0,53,7sao [A],38,X-RAY DIFFRACTION,1.77
7SNC,A,7SNC_A,2022-07-30_00000167_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7SNC_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7SNC_A/target.pdb,7/30/22,0,0,54,7snc [A],38,X-RAY DIFFRACTION,2.5
7SOO,A,7SOO_A,2022-07-30_00000169_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7SOO_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7SOO_A/target.pdb,7/30/22,1,0,55,7soo [A],99,X-RAY DIFFRACTION,1.65
7U0E,H,7U0E_H,2022-07-30_00000195_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/7U0E_H/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/7U0E_H/target.pdb,7/30/22,0,1,48,7u0e [H],229,X-RAY DIFFRACTION,2.1
8AHP,A,8AHP_A,2022-07-30_00000290_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-30/8AHP_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.30/8AHP_A/target.pdb,7/30/22,0,0,50,8ahp [A],378,X-RAY DIFFRACTION,2.9
7FAX,A,7FAX_A,2022-07-23_00000014_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7FAX_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7FAX_A/target.pdb,7/23/22,1,1,54,7fax [A],111,X-RAY DIFFRACTION,1.8
7FIA,A,7FIA_A,2022-07-23_00000044_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7FIA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7FIA_A/target.pdb,7/23/22,1,0,52,7fia [A],161,X-RAY DIFFRACTION,2.13
7N7G,A,7N7G_A,2022-07-23_00000049_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7N7G_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7N7G_A/target.pdb,7/23/22,0,2,56,7n7g [A],139,X-RAY DIFFRACTION,2
7P43,B,7P43_B,2022-07-23_00000067_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7P43_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7P43_B/target.pdb,7/23/22,0,0,53,7p43 [B],706,X-RAY DIFFRACTION,1.93
7P4A,A,7P4A_A,2022-07-23_00000070_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7P4A_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7P4A_A/target.pdb,7/23/22,1,1,51,7p4a [A],247,X-RAY DIFFRACTION,2.901
7P4N,A,7P4N_A,2022-07-23_00000074_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7P4N_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7P4N_A/target.pdb,7/23/22,1,0,48,7p4n [A],78,SOLUTION NMR,0
7P56,A,7P56_A,2022-07-23_00000078_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7P56_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7P56_A/target.pdb,7/23/22,0,2,57,7p56 [A],476,X-RAY DIFFRACTION,1.735
7RDN,A,7RDN_A,2022-07-23_00000115_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7RDN_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7RDN_A/target.pdb,7/23/22,1,0,58,7rdn [A],247,X-RAY DIFFRACTION,2.49
7TDR,A,7TDR_A,2022-07-23_00000177_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7TDR_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7TDR_A/target.pdb,7/23/22,2,0,60,7tdr [A],306,X-RAY DIFFRACTION,2.28
7VQ6,A,7VQ6_A,2022-07-23_00000213_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7VQ6_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7VQ6_A/target.pdb,7/23/22,0,2,52,7vq6 [A],192,X-RAY DIFFRACTION,1.39
7W61,A,7W61_A,2022-07-23_00000224_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/7W61_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/7W61_A/target.pdb,7/23/22,0,2,50,7w61 [A],249,X-RAY DIFFRACTION,1.6
8CXA,A,8CXA_A,2022-07-23_00000253_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-23/8CXA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.23/8CXA_A/target.pdb,7/23/22,0,2,49,8cxa [A],273,X-RAY DIFFRACTION,1.65
7ESG,A,7ESG_A,2022-07-16_00000008_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7ESG_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7ESG_A/target.pdb,7/16/22,2,0,79,7esg [A],598,X-RAY DIFFRACTION,2.53
7FCC,A,7FCC_A,2022-07-16_00000012_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7FCC_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7FCC_A/target.pdb,7/16/22,1,0,79,7fcc [A],146,X-RAY DIFFRACTION,2.144
7FDP,B,7FDP_B,2022-07-16_00000031_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7FDP_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7FDP_B/target.pdb,7/16/22,1,0,74,7fdp [B],419,X-RAY DIFFRACTION,2.1
7Q1T,A,7Q1T_A,2022-07-16_00000074_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7Q1T_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7Q1T_A/target.pdb,7/16/22,0,1,70,7q1t [A],30,X-RAY DIFFRACTION,1.68
7R6R,A,7R6R_A,2022-07-16_00000085_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7R6R_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7R6R_A/target.pdb,7/16/22,1,0,74,7r6r [A],203,X-RAY DIFFRACTION,3.13
7RFQ,A,7RFQ_A,2022-07-16_00000087_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7RFQ_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7RFQ_A/target.pdb,7/16/22,1,0,76,7rfq [A],270,X-RAY DIFFRACTION,1.27
7RGW,A,7RGW_A,2022-07-16_00000089_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7RGW_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7RGW_A/target.pdb,7/16/22,1,0,70,7rgw [A],174,X-RAY DIFFRACTION,1.99
7SL5,G,7SL5_G,2022-07-16_00000119_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7SL5_G/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7SL5_G/target.pdb,7/16/22,0,1,76,7sl5 [G],235,X-RAY DIFFRACTION,2.5
7SPY,A,7SPY_A,2022-07-16_00000120_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7SPY_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7SPY_A/target.pdb,7/16/22,1,2,75,7spy [A],357,X-RAY DIFFRACTION,2.23
7T2S,A,7T2S_A,2022-07-16_00000126_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7T2S_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7T2S_A/target.pdb,7/16/22,1,2,76,7t2s [A],187,X-RAY DIFFRACTION,1.82
7UM4,A,7UM4_A,2022-07-16_00000151_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7UM4_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7UM4_A/target.pdb,7/16/22,1,1,73,7um4 [A],336,X-RAY DIFFRACTION,2.8
7VKK,A,7VKK_A,2022-07-16_00000181_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7VKK_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7VKK_A/target.pdb,7/16/22,2,0,76,7vkk [A],304,X-RAY DIFFRACTION,3.55
7XGB,C,7XGB_C,2022-07-16_00000202_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7XGB_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7XGB_C/target.pdb,7/16/22,0,0,52,7xgb [C],556,X-RAY DIFFRACTION,2.7
7XQ5,B,7XQ5_B,2022-07-16_00000216_2,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7XQ5_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7XQ5_B/target.pdb,7/16/22,1,1,70,7xq5 [B],73,X-RAY DIFFRACTION,2.25
7Y6B,A,7Y6B_A,2022-07-16_00000237_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7Y6B_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7Y6B_A/target.pdb,7/16/22,1,1,74,7y6b [A],73,X-RAY DIFFRACTION,1.8
7Y6C,A,7Y6C_A,2022-07-16_00000238_1,https://www.cameo3d.org/modeling/targets/1-month/target/2022-07-16/7Y6C_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.16/7Y6C_A/target.pdb,7/16/22,1,1,48,7y6c [A],74,X-RAY DIFFRACTION,1.4
