PDB_ID,CHAIN,SEQ_ID,CAMEO_TARGET_ID,SEQ_URL,PDB_URL,SUBMISSION_DATE,DIFFICULTY,QUATERNARY_STATE,MONOMERIC_MODEL_COUNT,REF_PDB,SEQ_LENGTH,METHOD,RESOLUTION
7UW7,A,7UW7_A,2022-06-04_00000125_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7UW7_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7UW7_A/target.pdb,6/4/22,0,0,55,7uw7 [A],80,X-RAY DIFFRACTION,1.17
7VQW,A,7VQW_A,2022-06-04_00000141_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VQW_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VQW_A/target.pdb,6/4/22,0,0,51,7vqw [A],116,X-RAY DIFFRACTION,2.45
7VRS,A,7VRS_A,2022-06-04_00000144_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VRS_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VRS_A/target.pdb,6/4/22,0,1,53,7vrs [A],466,X-RAY DIFFRACTION,2.6
7VTY,A,7VTY_A,2022-06-04_00000148_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VTY_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VTY_A/target.pdb,6/4/22,0,0,53,7vty [A],90,X-RAY DIFFRACTION,2.5
7VU4,A,7VU4_A,2022-06-04_00000149_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/7VU4_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/7VU4_A/target.pdb,6/4/22,0,0,52,7vu4 [A],121,X-RAY DIFFRACTION,1.7
8CSO,C,8CSO_C,2022-06-04_00000181_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-04/8CSO_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.04/8CSO_C/target.pdb,6/4/22,0,2,54,8cso [C],236,X-RAY DIFFRACTION,2.6
7F15,B,7F15_B,2022-06-11_00000025_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7F15_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7F15_B/target.pdb,6/11/22,0,1,50,7f15 [B],253,X-RAY DIFFRACTION,2.65
7F4L,D,7F4L_D,2022-06-11_00000035_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7F4L_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7F4L_D/target.pdb,6/11/22,1,1,53,7f4l [D],247,X-RAY DIFFRACTION,2.72
7MNY,D,7MNY_D,2022-06-11_00000072_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7MNY_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7MNY_D/target.pdb,6/11/22,0,1,55,7mny [D],141,X-RAY DIFFRACTION,2.7
7X0F,C,7X0F_C,2022-06-11_00000205_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7X0F_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7X0F_C/target.pdb,6/11/22,1,0,55,7x0f [C],523,X-RAY DIFFRACTION,2.2
7XIF,D,7XIF_D,2022-06-11_00000212_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-11/7XIF_D/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.11/7XIF_D/target.pdb,6/11/22,0,2,55,7xif [D],309,X-RAY DIFFRACTION,2.14
7F5K,A,7F5K_A,2022-06-18_00000029_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7F5K_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7F5K_A/target.pdb,6/18/22,1,1,77,7f5k [A],200,X-RAY DIFFRACTION,3.00003
7QQA,A,7QQA_A,2022-06-18_00000125_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7QQA_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7QQA_A/target.pdb,6/18/22,0,2,71,7qqa [A],274,X-RAY DIFFRACTION,1.79
7QVB,B,7QVB_B,2022-06-18_00000126_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7QVB_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7QVB_B/target.pdb,6/18/22,1,2,84,7qvb [B],235,X-RAY DIFFRACTION,2.5
7R0R,A,7R0R_A,2022-06-18_00000128_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7R0R_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7R0R_A/target.pdb,6/18/22,1,0,77,7r0r [A],571,SOLUTION NMR,0
7X77,A,7X77_A,2022-06-18_00000232_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7X77_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7X77_A/target.pdb,6/18/22,1,0,71,7x77 [A],378,X-RAY DIFFRACTION,2.2
7ZRO,A,7ZRO_A,2022-06-18_00000269_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-18/7ZRO_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.18/7ZRO_A/target.pdb,6/18/22,2,0,73,7zro [A],40,SOLUTION NMR,0
7PLN,A,7PLN_A,2022-06-25_00000058_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-25/7PLN_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.25/7PLN_A/target.pdb,6/25/22,1,0,76,7pln [A],271,X-RAY DIFFRACTION,3.15
7PP2,A,7PP2_A,2022-06-25_00000059_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-25/7PP2_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.25/7PP2_A/target.pdb,6/25/22,1,1,77,7pp2 [A],606,X-RAY DIFFRACTION,2.69
7TDV,C,7TDV_C,2022-06-25_00000113_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-06-25/7TDV_C/fasta/,https://www.cameo3d.org/static/data/modeling/2022.06.25/7TDV_C/target.pdb,6/25/22,0,2,73,7tdv [C],449,X-RAY DIFFRACTION,2.92
7OPK,A,7OPK_A,2022-07-02_00000184_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/7OPK_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/7OPK_A/target.pdb,7/2/22,0,0,66,7opk [A],883,X-RAY DIFFRACTION,3
7R9B,A,7R9B_A,2022-07-02_00000229_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/7R9B_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/7R9B_A/target.pdb,7/2/22,0,2,74,7r9b [A],223,X-RAY DIFFRACTION,2.2
7RBP,A,7RBP_A,2022-07-02_00000232_1,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/7RBP_A/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/7RBP_A/target.pdb,7/2/22,1,2,74,7rbp [A],336,X-RAY DIFFRACTION,2.1
8CWU,B,8CWU_B,2022-07-02_00000368_2,https://www.cameo3d.org/modeling/targets/6-months/target/2022-07-02/8CWU_B/fasta/,https://www.cameo3d.org/static/data/modeling/2022.07.02/8CWU_B/target.pdb,7/2/22,0,1,70,8cwu [B],151,X-RAY DIFFRACTION,1.71
